Song Name,Lyrics
Take Care,"TranslationsPortuguêsEnglishTake Care Lyrics[Chorus: Rihanna]
I know you've been hurt by someone else
I can tell by the way you carry yourself
If you let me, here's what I'll do
I'll take care of you (I'll take, I'll take)
I've loved and I've lost

[Verse 1: Drake]
I've asked about you and they told me things
But my mind didn't change and I still feel the same
What's a life with no fun? Please don't be so ashamed
I've had mine, you've had yours, we both know, we know
They won't get you like I will, my only wish is I die real
'Cause that truth hurts and those lies heal
And you can't sleep thinkin' that he lies still
So you cry still, tears all in the pillowcase
Big girls all get a little taste, aw
Pushing me away so I give her space, aw
Dealin' with a heart that I didn't break
I'll be there for you, I would care for you
I keep thinking you just don't know
Tryna run from that, say you done with that
On your face, girl, it just don't show
When you're ready, just say you're ready
When all the baggage just ain't as heavy
And the party's over, just don't forget me
We'll change the pace and we'll just go slow
You won't ever have to worry
You won't ever have to hide
And you've seen all my mistakes
So look me in my eyes
[Chorus: Rihanna & Drake]
'Cause if you let me
Here's what I'll do
I'll take care of you (I'll take, I'll take)
I've loved and I've lost
(Yeah)

[Verse 2: Drake]
It's my birthday, I'll get high if I want to
Can't deny that I want you, but I'll lie if I have to
'Cause you don't say you love me
To your friends when they ask you
Even though we both know that you do, you do
One time, been in love one time
You and all your girls in the club one time
All so convinced that you're followin' your heart
'Cause your mind don't control what it does sometimes
We all have our nights, though, don't be so ashamed
I've had mine, you've had yours, we both know, we know
You hate bein' alone, well, you ain't the only one
You hate the fact that you bought the dream and they sold you one
You love your friends, but somebody should've told you somethin'
To save you, instead, they say

[Interlude: Gil Scott-Heron]
Don't, tell me, I don't care if you hurt
I don't, tell you, you don't care if you're true
Don't, tell me, I don't care if you hurt
I don't, tell you, you don't care if you're true
See Drake LiveGet tickets as low as $160You might also like[Chorus: Rihanna]
I know you've been hurt by someone else
I can tell by the way you carry yourself
If you let me, here's what I'll do
I'll take care of you (I'll take, I'll take)
I've loved and I've lost180Embed"
Marvins Room,"TranslationsTürkçePortuguêsMarvins Room Lyrics[Intro: Ericka Lee]
Hello?
Yeah, I just walked in
Yeah, I'm good, you still working?
Tonight, right now?
Did I go out? Yeah, I went out, I went
I went to a couple of clubs
I never went to bed, shit
Wine or water?
Did you say something about a cold drink? I don't know
I'm delirious
[Verse 1: Drake]
Cups of the rosé
Bitches in my old phone
I should call one and go home
I've been in this club too long
The woman that I would try
Is happy with a good guy
But I've been drinkin' so much
That I'ma call her anyway and say

[Chorus: Drake]
Fuck that nigga that you love so bad
I know you still think about the times we had
I say fuck that nigga that you think you found
And since you pick up, I know he's not around, oh, oh
[Post-Chorus: Drake & Ericka Lee]
Are you drunk right now?
I'm just sayin' you could do better
Tell me, have you heard that lately?
I'm just sayin' you could do better
And I'll start hatin' only if you make me

[Verse 2: Drake]
Uh, cups of the XO
All my people been here
I see all of her friends here
Guess she don't have the time to kick it no more
Flight's in the morning
What you doin' that's so important?
I've been drinkin' so much
That I'ma call you anyway and say
See Drake LiveGet tickets as low as $160You might also like[Chorus: Drake]
Fuck that nigga that you love so bad
I know you still think about the times we had
I say fuck that nigga that you think you found
And since you pick up, I know he's not around
[Post-Chorus: Drake & Ericka Lee]
Are you drunk right now?
I'm just sayin' you could do better
Tell me, have you heard that lately?
I'm just sayin' you could do better
And I'll start hatin' only if you make me

[Verse 3: Drake]
I think I'm addicted to naked pictures
And sittin' talkin' 'bout bitches that we almost had
I don't think I'm conscious of makin' monsters
Outta the women I sponsor 'til it all goes bad
But, shit, it's all good
We threw a party, yeah, we threw a party
Bitches came over, yeah, we threw a party
I was just callin' 'cause they were just leavin'
Talk to me, please, don't have much to believe in
I need you right now, are you down to listen to me?
Too many drinks have been given to me
I got some women that's livin' off me
Paid for their flights and hotels, I'm ashamed
Bet that you know them, I won't say no names
After a while, girl, they all seem the same
I've had sex four times this week, I'll explain
Havin' a hard time adjustin' to fame
Sprite in there mixed up
I've been talkin' crazy, girl, I'm lucky that you picked up
Lucky that you stayed on
I need someone to put this weight on
Fuck, I'm sorry
[Post-Chorus: Drake & Ericka Lee]
Are you drunk right now?
I'm just sayin' you could do better
Tell me, have you heard that lately?
I'm just sayin' you could do better
And I'll start hatin' only if you make me

[Interlude: Drake]
You not gon' come?
I guess I'm 'bout to just kick it here then

[Outro: Drake]
Just throw up while I hold your hair back
Her white friend said, ""You niggas crazy,"" I hope no one heard that
Yeah, I hope no one heard that
'Cause if they did, we gon' be in some trouble, yeah
If they did, we gon' be in some trouble, trouble, oh266Embed"
Buried Alive Interlude,"TranslationsTürkçeBuried Alive Interlude Lyrics[Intro: Kendrick Lamar]
Box
I would surely break the lock
I'd jump right in and, and fall asleep, I, I fall asleep
'Cause, 'cause, 'cause you, 'cause you are the death of me
'Cause you are the—
If you was in a pine box, box
I would surely break the lock
I'd jump right in and, and fall asleep, I, I fall asleep
'Cause, 'cause, 'cause you, 'cause you are the death of me
'Cause you are the—
The, the death of me, you, you, the death of me
[Verse: Kendrick Lamar]
Lookin' in the mirror, I'm embarrassed
I'm feelin' like a suicidal terrorist
React like an infant whenever you are mentioned
Mind over matter never worked for my nemesis
I'm in the matter of man, arm wrestlin' hands I was dealt
When I said the music business was all I needed
When I got it, I was greeted by an alien
That said last year that she slept with a Canadian
That gave him an addiction that'd keep him in Mercedes Benz
Bright lights and Rihanna as a lady friend
My vice is similar
Women love when you're my type
And you're winnin' from everything that your palm write
Put her in the Palms Hotel, sin city
Devil in a dress, Platinum Chanel
Live the ambiance all 'cause the audience one day said I would do it
So instead of a verse bein' read
I'ma go and get some head off the strength of my music
I tell a bad bitch your ass too fat, capitalize that
And your weave look good with the Indian tracks
Trackin' device on your used 5 Series
I don't call back, just blame it on your Canadian
The same day we say we in the area cruisin' in Toronto
Hit me on the cellular, thought he was gonna sell me a false word like the rappers I know
Sat down with a few drinks, located where you can't see us
A white waitress on standby when we need her
A black Maybach, 40 pulled up Jeep
No doors, all that nigga was missin' was Aaliyah
Felt like the initiation, a reality livin' in the matrix
We talk casually about the industry
And how the women be the tastemakers for the shit we makin'
Then he said that he was the same age as
Myself, and it didn't help 'cause it made me even more rude and impatient
So blame it on Mr. OVOXO
The reason why I'm breathin' all the vanity I know
The reason why my best friend say she love me more than life
But I live a double life and need to let her go
The reason why the highlight was when he said
You belong to the people when you outside
So dig a shovel full of money, full of power, full of pussy
Full of fame and bury yourself alive, then I diedSee Drake LiveGet tickets as low as $160You might also like122Embed"
Under Ground Kings,"Under Ground Kings Lyrics[Intro]
Yeah

[Verse 1]
Bridge over troubled water, ice in my muddy water
Rich off a mixtape, got rich off a mixtape
Probably shouldn't be driving, it just got so much harder
Can't even see it straight, I can't even see it straight, ah
Fuck with me, I buy the shots
Live a little, 'cause niggas die a lot
And lie a lot, but I'm the truth, that's right, I fuckin' said it
The living proof that you ain't gotta die to get to heaven
You, girl, you right there, you look like you like this shit
How'd I know? How'd I know? That's me on some psychic shit
I could tell a lie if you askin' me my whereabouts
But I might talk that real if you ask me what I care about
Rap and bitches, rap and bitches, bitches and rappin'
Rappin' and bitches until all of it switches, I swear
It's been two years since somebody asked me who I was
I'm the greatest, man, I said that before I knew I was
That's what's important, what really happened before this
When me and my crew was all about this rapper from New Orleans
Singing, ""Walking like a man, finger on the trigger
I got money in my pocket, I'm a uptown nigga,"" ah
With fame on my mind, my girl on my nerves
I was pushing myself to get something that I deserve
That was back in the days, Acura days
I was a cold dude, I'm gettin' back to my ways
[Chorus]
People always ask how I got my nice things
Take my crown to the grave, I'm an underground king
I bet we can make tonight the greatest story ever told
'Cause I'm down to spend whatever, lately, I've been on a roll
And I do it for the city 'cause you know the city love a nigga
Do it for the city 'cause you know the city love a nigga
Do it for the city 'cause you know the city love a nigga
Do it for the city (UGK, fuck these other niggas)
[Verse 2]
Sometimes I need that romance, sometimes I need that pole dance
Sometimes I need that stripper that's gon' tell me that she don't dance
Tell me lies, make it sound good, make it sound good
Do me like the women from my town would
Leather with that woodgrain, Persian rugs on wood floors
Talking all them good things, that's all I'm really good for
Memphis, Tennessee know, see, I start to go deep back
In Ridge Crest with my seat back with Yo Gotti and E-Mack
And these niggas got them diamonds glowin' in they mouth
And they rockin' furs like it's snowin' in the South
And every pretty girl tell me that's the shit that she like
So why am I in class if this is who I'm tryna be like?
So I drop out, lessons I was taught are quick to fade
Soon as I realize that turnin' papers in won't get me paid
And if I don't do nothing, I'ma ball
I'm countin' all day like the clock on the wall, yeah, I need that
Making major changes to the life I'm livin'
I had no choice, I had to prove I made the right decision
That was back in the days, Acura days
I was a cold dude, I'm gettin' back to my ways
See Drake LiveGet tickets as low as $160You might also like[Chorus]
People always ask how I got my nice things
Take my crown to the grave, I'm an underground king
I bet we can make tonight the greatest story ever told
'Cause I'm down to spend whatever, lately, I've been on a roll
And I do it for the city 'cause you know the city love a nigga
Do it for the city 'cause you know the city love a nigga
Do it for the city 'cause you know the city love a nigga
Do it for the city (UGK, fuck these other niggas)63Embed"
We’ll Be Fine,"We’ll Be Fine Lyrics[Intro: Drake]
Yeah

[Verse 1: Drake]
Never thoughts of suicide, I'm too alive
But I still treat it like it's do or die
Even though dying isn't in the plans
But neither was making it, and here I am
In the presidential, do you like your new room?
Always presidential and tonight's no blue moon
Since I saw Aaliyah's precious life go too soon
She deserve the credit for how I'm about to get it
That's why I got a new dumb thing movin' through the street
Got a new condo, move it to the beach
Heard Nicki just bought a brand new crib
Goddamn, man, she's beauty and the beast, Lord
Seem like yesterday that I was up-and-coming
Still so young that I ain't had enough of nothing
The fam here? The drink here? The girls here?
Well, fuck, let's get it then
[Chorus: Drake]
Uh, I'm trying to let go of the past
Should we make this one a double? You ain't even gotta ask, ah
Because it's hard to say no (Say no)
Yeah, it gets hard to say no
Are you down? Are you down? Yeah, you all the way down
Every time (Every time, every time, every time)
Am I down? Am I down? Yeah, I'm all the way down
We'll be fine (We'll be fine, we'll be fine, we'll be fine)
Are you down? Are you down? Yeah, you all the way down
Every time (Every time, every time, every time)
Am I down? Am I down? Yeah, I'm all the way down
We'll be fine (We'll be fine, we'll be fine, we'll be fine)

[Verse 2: Drake]
Yeah
Used to make us proud, we had dreams of getting bigger, man
Loved you until now, but now I'm the nigga, man, uh
You keep talking how you was this and you had this
And you deserve some fuckin' credit, how did anyone forget it?
Got a show up in your city, your girl is in the line
And the line around the corner, it's my motherfuckin' time
You should take it as a sign, man, I got it right now
I wouldn't doubt it, 'cause these bitches all about it right now
Let's be real about this shit, can I take you home?
Or come to where you stay? Do you live on your own?
I heard you got your ways, I never would have known
She says, ""You're such a dog,"" I say, ""You're such a bone""
I've been everywhere, where you know me from?
These days, women give it to me like they owe me one
But they crave attention, though, they always saying, ""Show me some""
But girl, you ain't the only one that's tryna be the only one, uh
At least I admit that, if you get that, and you with that
Then, fuck, let's get it then
See Drake LiveGet tickets as low as $160You might also like[Chorus: Drake]
Uh, I'm trying to let go of the past
Should we make this one a double? You ain't even gotta ask, ah
Because it's hard to say no (Say no)
Yeah, it gets hard to say no
Are you down? Are you down? Yeah, you all the way down
Every time (Every time, every time, every time)
Am I down? Am I down? Yeah, I'm all the way down
We'll be fine (We'll be fine, we'll be fine, we'll be fine)
Are you down? Are you down? Yeah, you all the way down
Every time (Every time, every time, every time)
Am I down? Am I down? Yeah, I'm all the way down
We'll be fine (We'll be fine, we'll be fine, we'll be fine)

[Outro: Birdman]
Yeah
Drizzy, your turn, nigga
Take care of the business, nigga (Shine on these niggas)
Give these niggas the business, nigga
Kill spray anything in the way, nigga, fuck 'em, we don't love 'em (Blatt)
Yeah, it's just that uptown gangster shit (Yeah)
Toronto, stand up for one of the realest niggas, Drizzy
With the realest flow, you know?
Toast to this gangster shit (To this gangster shit)
OVO, YMCMB, nigga (Believe that)
Yeah, you understand me?
Playin' with these motherfuckin' millions like they ain't nothing (Throwin' hundreds)
Rubber band stacks
Yeah, that YMCMB shit, nigga
Flashy lifestyle
One hundred38Embed"
Make Me Proud,"Make Me Proud Lyrics[Verse 1: Drake]
I like a woman with a future and a past
A little attitude problem all good, it'll make the shit last
Don't make it too easy, girl, don't take it too fast
Yeah, that's it right there, that's it, do it just like that
Only you can do it just like that
And I love it when your hair still wet 'cause you just took a shower
Running on a treadmill and only eating salad
Sound so smart like you graduated college
Like you went to Yale, but you probably went to Howard, knowing you
Weekend in Miami, tryna study by the pool
Couple things due, but you always get it done
Might've been a time where I loved her too
But you take that away and you've always been the one, one
I wonder why the moon looks nice, girl
Maybe it's just right for the night
You said niggas coming on too strong, girl
They want you in they life as a wife
That's why you wanna have no sex, why you wanna protest
Why you wanna fight for your right
'Cause you don't love them boys
Pussy run everything, fuck that noise
[Pre-Chorus: Drake]
I know things get hard, but girl, you got it, girl, you got it, there you go
Can't you tell by how they looking at you everywhere you go?
Wonderin' what's on your mind, it must be hard to be that fine
When all these motherfuckers wanna waste your time
It's just amazing, girl, and all I can say is

[Chorus: Drake]
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
Everything's adding up, you've been through hell and back
That's why you're bad as fuck and you—

[Verse 2: Nicki Minaj]
B-b-b-bet I am
All of them bitches I'm badder than
Mansions in Malibu, Babylon
But I never mention everything I dabble in
And I always ride slow when I'm straddling
And my shit's so wet, you gotta paddle in
Gotta r-r-row, gotta row your boat
It's Pink Friday Records and OVO
Done did the pop tour, I'm the realest still
The best legal team, so the deals is ill
It's MAC, OPI, and a fragrance too
Apparel, I'm dominatin' every avenue
Cobblestone, good view, little gravel too
Gotta pay for the entourage travel too
'Cause I'm fl-fl-fly, I'm flyin' high
Ain't got time to talk, just hi and bye, bitch
But baby, if you ask me to take a break
I'll give it all away, don't care what the people say
Could be a million, billion, trillion miles away
He asked my sign, I said a Sag'
I'm a star, sheriff badge
What's the point if I'm guardin'?
Double-D up, hoes, Dolly Parton
See Drake LiveGet tickets as low as $160You might also like[Pre-Chorus: Drake]
I know things get hard, but girl, you got it, girl, you got it, there you go
Can't you tell by how they looking at you everywhere you go?
Wondering what's on your mind, it must be hard to be that fine
When all these motherfuckers wanna waste your time
It's just amazing, girl, and all I can say is

[Chorus: Drake]
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
Everything's adding up, you've been through hell and back
That's why you're bad as fuck and you know you are

[Bridge: Drake]
And all I can say is
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
And all I can say is
I'm so, I'm so, I'm so, I'm so—

[Chorus: Drake]
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
I'm so, I'm so, I'm so, I'm so, I'm so proud of you
Everything's adding up, you've been through hell and back
That's why you're bad as fuck and you know you are64Embed"
Lord Knows,"TranslationsTürkçeLord Knows Lyrics[Intro: Choir & Rick Ross]
And I know the sun will rise with me (Huh)
And I know the sun will rise with me (Huh)
And I know the sun will rise with me (Huh)
And I know the sun will rise with me (All we wanted was an opportunity)
Just Blaze (Lord knows)

[Verse 1: Drake & Rick Ross]
It's your worst nightmare, it's my first night here
And this girl right here, who knows what she knows?
So I'm going through her phone if she go to the bathroom
And her purse right there, I don't trust these hoes at all
But that's just the result of me paying attention
To all these women that think like men with the same intentions
Talking strippers and models that try to gain attention
Even a couple pornstars that I'm ashamed to mention
But Weezy and Stunna my only role models
Haffa and Jordan my only role models
That's why I walk around with all this gold on
And every time I run into these niggas, they want no problems
Bought 'em sixes and chains, and some bracelets and rings
All of the little accents that make me a king
I never hear the disses they try and point out to me
But it's whatever if somebody won't make it a thing
I'm more concerned with niggas thinkin' 'bout Christmas in August
Do anything to buy gifts for they daughters
Get some shake, a brick in the press
And chef it like Mrs. Fields, they makin' the cookie stretch
I know it so well, I know the hustle so well
Stunt like I'm working overnighters right by the motel
Drug money outfit, record clean
Spend it all on me and my fuckin' team
Matchin' Rollies for real, matchin' Rovers for real (Woo)
Places they say they've been, we actually goin' for real (Woo)
I'm really killin' shit, fuck all the jiggy rappin' (Woo)
I'm going trigger happy just to see my niggas happy
Mixtape legend, underground kings
Lookin' for the right way to do the wrong things (Huh)
With my new bitch that's livin' in Palm Springs
Young-ass nigga, lifelong dreams
They take the greats from the past and compare us
I wonder if they'd ever survive in this era
In a time where it's recreation
To pull all your skeletons out the closet like Halloween decorations
I know of all the things that I hear they be pokin' fun at
Never the flow, though, they know I run that
Fuck you all, I claim that whenever
I changed rap forever, the game back together, yeah
YM, I remain that forever
In the same place my brother Wayne at forever
I'm a descendant of either Marley or Hendrix
I haven't figured it out 'cause my story is far from finished
I'm hearing all of the jokes, I know that they tryna push me
I know that showin' emotion don't ever mean I'm a pussy
Know that I don't make music for niggas who don't get pussy
So those are the ones I count on to diss me or overlook me
Lord knows, Lord knows, I'm heavy, I got my weight up
Roberson, boost the rate up, it's time that somebody paid up
A lot of niggas came up off of a style that I made up
But if all I hear is me, then who should I be afraid of?
Bought a white Ghost, now shit is gettin' spooky
Very, very scary like shit you see in the movies
In this bitch, all drinks on the house like Snoopy
That's why all the real soldiers salute me
Trill nigga, for real
[Interlude: Rick Ross]
Huh
You know I love this
YOLO, you only live once
I'm going so hard, my nigga
I swear, homie
Every day is another opportunity to reach that goal
(M-M-Maybach Music)

[Verse 2: Rick Ross]
I fell in love with the pen, started fuckin' the ink (Huh)
The hustle's an art, I painted what I would think
Still allergic to broke, prescription straight to the paper
Destined for greatness, but got a place in Jamaica (Woo)
Villa on the water with the wonderful views
Only fat nigga in the sauna with Jews
Went and got a yacht, I'm talkin' Carnival Cruise
And these niggas talkin' like hoes, they mad they not in my shoes
It's the red bottom boss (Huh), came to buy the bar (Huh)
Every bi-week, shit, I'm bound to buy a car (Woo)
Murder-cedes Benz or that bubble double-R (Woo)
Headlights flickin', lookin' like a falling star
Every day, them hammers bang, whippin' yay like Anna Mae
I run the game, but the ladies think I'm runnin' game
Mink coats make your woman wanna fornicate
Rozay and Drake, I'm getting cake, nothin' short of great (Huh)See Drake LiveGet tickets as low as $160You might also like58Embed"
Cameras,"TranslationsTürkçeCameras Lyrics[Intro: Drake & Jon B]
No, no, no
I been callin' on, callin' on you
No, no, no
Yeah
I been callin' on, callin' on you
Uh

[Verse 1: Drake]
Word on road is the clique about to blow
You ain't gotta run and tell nobody, they already know
We've been living on a high, they've been talking on the low
But it's cool, know you heard it all before
That's why I asked you
[Chorus: Drake]
How you mean? How you mean?
Thought you knew about the team, ayy, yeah
That's why I asked you, how you mean? How you mean?
Thought you knew about the team, ayy, yeah, heh, uh

[Verse 2: Drake]
How you mean? How you mean? What you know about the team?
Man, these niggas need to stop it, they be crowding up the scene
Baby girl, you need to stop it, all that pride and self-esteem
Got you angry about this girl I'm with in all them magazines
Baby, she look like a star, but only on camera
Only on camera, only on camera
It look like we in love, but only on camera
Only on camera, only on camera
Don't listen to the lies, I swear they all lies
You know, I could be your knight in shining Armor All tires
Trying to tell you I'm the one, come and holla at me
Before I'm on the next ting, YMCMB, ah

[Refrain: Jon B]
Ooh, finally got you right here (Said I finally got my baby)
Tonight, I'll ease your mind (Tonight, I'll ease your mind)
That's why I'm callin' on you (Why I'm callin' on you)
And, ooh, oh
Soft, you're love's desire (Soft, you're love's desire)
It's hard to stay away (Stay away)
You keep me callin' on you (You keep me callin' on you)
See Drake LiveGet tickets as low as $160You might also like[Chorus: Drake]
How you mean? How you mean?
Thought you knew about the team, ayy, yeah
How you mean? How you mean?
Thought you knew about the team, ayy, yeah, heh

[Verse 3: Drake]
How you mean? How you mean? What you know about the team?
You just know what you get told, girl, I see behind the scene
She spilled whiskey on her shirt, she gon' have to get it cleaned
She been going way too hard, someone has to intervene
Baby, she look like a star, but only on camera
Only on camera, only on camera
It might look like I care, but only on camera
Only on camera, only on camera
Don't listen to the lies, I swear they all lies
You know, I could be your knight in shining Armor All tires
Girl, they love me like I'm Prince, like the new king with the crown
Bunch of Underground Kingz, thought you knew how we get down, huh?

[Refrain: Jon B]
Ooh, finally got you right here (Said I finally got my baby)
Tonight, I'll ease your mind (Tonight, I'll ease your mind)
That's why I'm callin' on you (Why I'm callin' on you)
And, ooh, oh
Soft, you're love's desire (Soft, you're love's desire)
It's hard to stay away (Stay away)
You keep me callin' on you (You keep me callin' on you)
[Chorus: Drake]
How you mean? How you mean?
Thought you knew about the team, ayy
How you mean? How you mean?
Thought you knew about the team, ayy, yeah

[Outro: Drake & Jon B]
Ah, call on you
Just mail me my ring back
Oh, I wanna call on you, baby
Can't keep that shit
Oh, I wanna call on you, baby
She said I could call on you, baby (Hahaha)
Ayy
La, da, da, da, da, la, da, da, da, da, baby
[Produced by Noah ""40"" Shebib]62Embed"
Good Ones Go (Interlude),"TranslationsTürkçeEspañolGood Ones Go (Interlude) Lyrics[Intro: Drake]
Oh yeah
Oh yeah, oh yeah, oh
Oh yeah, oh yeah, oh

[Verse 1: Drake]
Summer's mine
I swear I said it about a hundred times, I'ma need it back
Wish that you would come and find me
Just to tell me that I haven't changed, girl, I needed that from you
I'm gettin' money just taking care of me, girl
I'm spendin' time just taking care of me right now
I'm gettin' money just taking care of me, girl
'Cause you'd be tired of taking care of me by now
[Pre-Chorus: The Weeknd]
Ooh, ooh-oh, ooh

[Chorus: Drake]
But the good ones go
The good ones go if you wait too long
But the good ones go
The good ones go if you wait too long
So you should go
You should go, before you stay too long

[Verse 2: Drake]
But don't you go getting married
Don't you go get engaged
I know you're getting older
Don't have no time to waste
I shouldn't be much longer
But you shouldn't have to wait
Can't lose you, can't help it
I'm so sorry, I'm so selfish
Uh, uh, I've been chillin' in the city where the money's thrown high and the girls get down
In case you started to wonder why my new shit's sounding so H-Town
But when it's all done, baby, I'm yours if you're still around
She knows, she knows, she knows

[Pre-Chorus: The Weeknd]
Ooh, ooh-oh, ooh
See Drake LiveGet tickets as low as $160You might also like[Chorus: Drake]
But the good ones go
The good ones go if you wait too long
But the good ones go
The good ones go if you wait too long
So you should go
You should go, before you stay too long59Embed"
Doing It Wrong,"TranslationsEspañolDoing It Wrong Lyrics[Verse 1]
When a good thing goes bad, it's not the end of the world
It's just the end of a world that you had with one girl
And she's the reason it happened, but she's overreacting
And it's all because she don't want things to change

[Chorus]
So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
'Cause you'll say you love me, and I'll end up lying
And say, ""I love you too""
[Refrain]
But I need someone different
You know it, oh, you know it
Oh, you know it, we both know it
I need someone different
You know it, oh, you know it
Oh, you know it, we both know it
Something's been missing
You know it, oh, she knows it
Oh, I know it, we all know it
I need someone different
Oh, oh

[Verse 2]
We live in a generation of not being in love and not being together
But we sure make it feel like we're together
'Cause we're scared to see each other with somebody else

[Chorus]
So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
'Cause you'll say you love me, and I'll end up lying
And say, ""I love you too""
See Drake LiveGet tickets as low as $160You might also like[Refrain]
But I need someone different
You know it, oh, you know it
Oh, you know it, we both know it
I need someone different
You know it, oh, you know it
Oh, you know it, we both know it
Something's been missing
You know it, oh, she knows it
Oh, I know it, we all know it
I need someone different
Oh, oh

[Outro: Stevie Wonder on Harmonica]175Embed"
The Real Her,"The Real Her Lyrics[Verse 1: Drake]
People around you should really have nothing to say
Me, I'm just proud of the fact that you've done it your way
And the weekend's here, started it right
Even if you only get part of it right
Live for today, plan for tomorrow
Party tonight, party tonight
Dying to meet your girlfriends that you said you might bring
If they're the ones that tell you that you do the right thing, ooh

[Pre-Chorus: Drake]
Houston girls love the way it goes down
Atlanta girls love the way it goes down
Vegas girls love the way it goes down
[Chorus: Drake]
But I gotta say, oh, baby, oh, baby, why is this so familiar?
Just met her, already feel like I know the real her
You must've done this before, this can't be your first time
We must've been here before, it's still fresh on my mind
You got that shit that somebody would look for, but won't find
You must've done this before, this can't be your first time

[Verse 2: Drake]
They keep telling me don't save you
If I ignore all that advice, then something isn't right
Then who will I complain to?
But the weekend's here, started it right
Even if I only get part of it right
Live for today, plan for tomorrow
Party tonight, party tonight
You got your guards up, I do too
There's things we might discover
'Cause you got a past and I do too
We're perfect for each other

[Pre-Chorus: Drake]
Houston girls love the way it goes down
Atlanta girls love the way it goes down
Vegas girls love the way it goes down
See Drake LiveGet tickets as low as $160You might also like[Chorus: Drake]
But I gotta say, oh, baby, oh, baby, why is this so familiar?
Just met her, already feel like I know the real her
You must've done this before, this can't be your first time
We must've been here before, it's still fresh on my mind
You got that shit that somebody would look for, but won't find
You must've done this before, this can't be your first time (Woah)

[Verse 3: Lil Wayne]
'Cause to her, I'm just a rapper and soon, she'll have met another
So if tonight's an accident, tomorrow, we'll recover
And I know I'm not supposed to judge a book by its cover
I don't wan' be in the blind, but sometimes I Stevie Wonder
About her
And she with it if I'm with it, and I'm with it
I know what makes her smile, but I wan' know what makes her different
Or should I just be realistic? Lipstick on the glass
See, I know this ain't your first, but it's better than your last, Tunechi

[Chorus: Drake]
You must've done this before, this can't be your first time
We must've been here before, it's still fresh on my mind
You got that shit that somebody would look for, but won't find
You must've done this before, this can't be your first time (Woah)

[Verse 4: André 3000]
Shower her with dollar tips, shawty went and bought a whip
Guarantee the city remember your whole name, you throw that ho a scholarship
All of them ain't all equipped
And this saddens me, I see the pecking order
Quote-unquote bad bitches work the whole floor
Those that get laughed at sit off in a corner
Like a lab rat, nobody want her
Niggas that are married don't wanna go home
But we look up to them, they wish they were us
They want some new trim, we lust for some trust
Now the both of us are colorblind 'cause the other side looks greener
Which leaves your turf in a Boise state
Can't see a play or the team, 'cause
Everybody has an addiction, mine happens to be you
And those who say they don't, souls will later on say to them, ""That ain't true""
All of them will have an opinion
But y'all know what y'all can do with them
But if you unsure, I'll take you on tour
To a place you can stick that in
Well, sitting here sad as hell
Listening to Adele, I feel you, baby
""Someone Like You,"" more like someone unlike you
Or something that's familiar maybe
And I can tell that she wants a baby
And I can yell, girl, that you're crazy
Oh, what the hell? Nope, can't be lazy
Please be careful, bitches got the rabies85Embed"
