,Song Name,Lyrics,single_text
82,Weston Road Flows,"[Intro]
One of dem ones—right

[Verse]
Weston Road Flows, I did this shit for my nigga Renny
Back when we couldn't buy pizza cause we were down to pennies
Feel like we go back a century, run in the store for Centuries
Then bring it back to your brother, man, we had to respect it
He was wavy, doin' mixtapes out of your basement
He let us hit the weed on occasion for entertainment
Then he would leave us at the house and go out on a mission
We probably would've got in less trouble just goin' with him
Feel like I never say much but, man, there's a lot to know
Feel like the difference between us really startin' to show
I'm lookin at they first week numbers like, ""What are those?""
I mean, you boys not even coming close
I gave niggas like you a reason for celebration
You number one and I'm Eddie Murphy, we tradin' places
Look in the mirror, I'm closer than I really appear
Creepin' like Chilli without the tender, love, and care
No tender love and care, no love and affection
I got a price on my head but there's a risk in collecting
I might be here as a vessel to teach people a lesson
Feel like they wanted me dead but couldn't pull it together
Yeah, but here we are and it's a new semester
40 the only one that know how I deal with the pressure
A couple nights where it started to feel like the feelings fadin'
A lot of problems that can't be fixed with a conversation
Your best day is my worst day, I get green like Earth Day
You treat me like I'm born yesterday, you forgot my birthday
You don't be scorin' perfect
You don't be workin' like how we be workin'
You platinum like wrappers
On Hershey's boy, that shit is worthless
You get the message over and over like it was urgent
And then act like you ain't heard it when you see me in person
The only thing I did to end up here was put the work in
And did it with a purpose
Used to have secret handshakes to confirm my friendships
Nowadays, they just shakin' my hand to hide the tension
A lot of people just hit me up when my name is mentioned
Shout out to KD, we relate, we get the same attention
It's rainin' money, Oklahoma City Thunder
The most successful rapper 35 and under
I'm assumin' everybody's 35 and under
That's when I plan to retire, man, it's already funded
Yeah, I brought your wifey out to Saint Martin
She violated, I sent her back where it all started
How quick they are to forget about their bachelor apartment
Leave it to niggas like you to show em' light in the darkness
Told my momma that I found a lady in the east
Cancun, when I got signed, they upgraded the suite
Don Julio in the freezer that they gave us for free
I get you all you can eat, just have some patience with me
You wouldn't tell me you loved me, started seein' Monique
Last time I heard from Monique, T-Minus was makin' beats
I used to hit the corner store to get to Tahiti Treat
Now the talk at the corner store is I'm TBE
The best ever, don't ever question, you know better
But shit ain’t always how it seems when it’s sewn together
Yeah, I let that last line breathe, it take a second to get it
Weston Road flows, my confidence level gettin' settled
Don't get hyped for the moment then start to backpedal
Don't let your newfound fame fool you
Or cloud up your judgement to talk loosely, I really do this
Been flowin' stupid since Vince Carter
Was on some through the legs arm in the hoop shit
Drinkin' Hpnotiq with Glenn Lewis, I been through it
Y'all was so afraid to lay claim to it
Too busy face screwin' on waste movements
You was ridin' TTC metro, I had the place boomin'
First take Drake, you know I rarely have to take two it
And they still take to it
Big Apple had the white hummer parked right in front of Fluid
And we be walkin' in that bitch like we already knew it
But money can't buy happiness, Jellee talkin' truthful
But I'm happiest when I can buy what I want
Get high when I want
[Outro]
Yeah, that's right, yeah","
one of dem ones—right

verse
weston road flows i did this shit for my nigga renny
back when we couldnt buy pizza cause we were down to pennies
feel like we go back a century run in the store for centuries
then bring it back to your brother man we had to respect it
he was wavy doin mixtapes out of your basement
he let us hit the weed on occasion for entertainment
then he would leave us at the house and go out on a mission
we probably wouldve got in less trouble just goin with him
feel like i never say much but man theres a lot to know
feel like the difference between us really startin to show
im lookin at they first week numbers like what are those
i mean you boys not even coming close
i gave niggas like you a reason for celebration
you number one and im eddie murphy we tradin places
look in the mirror im closer than i really appear
creepin like chilli without the tender love and care
no tender love and care no love and affection
i got a price on my head but theres a risk in collecting
i might be here as a vessel to teach people a lesson
feel like they wanted me dead but couldnt pull it together
yeah but here we are and its a new semester
40 the only one that know how i deal with the pressure
a couple nights where it started to feel like the feelings fadin
a lot of problems that cant be fixed with a conversation
your best day is my worst day i get green like earth day
you treat me like im born yesterday you forgot my birthday
you dont be scorin perfect
you dont be workin like how we be workin
you platinum like wrappers
on hersheys boy that shit is worthless
you get the message over and over like it was urgent
and then act like you aint heard it when you see me in person
the only thing i did to end up here was put the work in
and did it with a purpose
used to have secret handshakes to confirm my friendships
nowadays they just shakin my hand to hide the tension
a lot of people just hit me up when my name is mentioned
shout out to kd we relate we get the same attention
its rainin money oklahoma city thunder
the most successful rapper 35 and under
im assumin everybodys 35 and under
thats when i plan to retire man its already funded
yeah i brought your wifey out to saint martin
she violated i sent her back where it all started
how quick they are to forget about their bachelor apartment
leave it to niggas like you to show em light in the darkness
told my momma that i found a lady in the east
cancun when i got signed they upgraded the suite
don julio in the freezer that they gave us for free
i get you all you can eat just have some patience with me
you wouldnt tell me you loved me started seein monique
last time i heard from monique tminus was makin beats
i used to hit the corner store to get to tahiti treat
now the talk at the corner store is im tbe
the best ever dont ever question you know better
but shit ain’t always how it seems when it’s sewn together
yeah i let that last line breathe it take a second to get it
weston road flows my confidence level gettin settled
dont get hyped for the moment then start to backpedal
dont let your newfound fame fool you
or cloud up your judgement to talk loosely i really do this
been flowin stupid since vince carter
was on some through the legs arm in the hoop shit
drinkin hpnotiq with glenn lewis i been through it
yall was so afraid to lay claim to it
too busy face screwin on waste movements
you was ridin ttc metro i had the place boomin
first take drake you know i rarely have to take two it
and they still take to it
big apple had the white hummer parked right in front of fluid
and we be walkin in that bitch like we already knew it
but money cant buy happiness jellee talkin truthful
but im happiest when i can buy what i want
get high when i want
outro
yeah thats right yeah"
83,Redemption,"[Intro]
Yeah, I get it
I get it, yeah

[Verse 1]
Why would I say all these things to have you feelin' a way?
Why would I tell you I'm 30 away if I'm not on the way?
Why do I settle for women that force me to pick up the pieces?
Why do I want an independent woman
To feel like she needs me?—I lost my way
[Chorus]
I'm searchin' for these words to say to you
Please give me time
Cause I'm searchin' for these words to say to you
Oh, please give me time
Cause I'm searchin' for these words to say to you right now
Redemption's on your mind when you think about me, yeah
Redemption's on your mind when you think about me, yeah

[Verse 2]
Run your mouth, I'd rather listen to someone else
I gave your nickname to someone else
I know you're seein' someone that loves you
And I don't want you to see no one else
I don't want you here with no one else
I don't wanna do this with no one else
I used to know you back when you was young
Your brother brought me through, you saw me
That made me think of you so differently
I miss the feeling of you missing me
But you say you're over and done with me
Aw, yeah, yeah, yeah
Aw, yeah, yeah, yeah

[Chorus]
Now redemption's on your mind when you think about me
Aw yeah, yeah, yeah
Redemption's on your mind when you think about me
Aw yeah, yeah, yeah
Redemption's on your mind when you (think about me)
Aw, please give me time
Cause I'm searchin' for these words
To say to you right now, yeah
","
yeah i get it
i get it yeah

verse 1
why would i say all these things to have you feelin a way
why would i tell you im 30 away if im not on the way
why do i settle for women that force me to pick up the pieces
why do i want an independent woman
to feel like she needs me—i lost my way
chorus
im searchin for these words to say to you
please give me time
cause im searchin for these words to say to you
oh please give me time
cause im searchin for these words to say to you right now
redemptions on your mind when you think about me yeah
redemptions on your mind when you think about me yeah

verse 2
run your mouth id rather listen to someone else
i gave your nickname to someone else
i know youre seein someone that loves you
and i dont want you to see no one else
i dont want you here with no one else
i dont wanna do this with no one else
i used to know you back when you was young
your brother brought me through you saw me
that made me think of you so differently
i miss the feeling of you missing me
but you say youre over and done with me
aw yeah yeah yeah
aw yeah yeah yeah

chorus
now redemptions on your mind when you think about me
aw yeah yeah yeah
redemptions on your mind when you think about me
aw yeah yeah yeah
redemptions on your mind when you think about me
aw please give me time
cause im searchin for these words
to say to you right now yeah
"
84,With You,"[Chorus: PARTYNEXTDOOR]
It's about us right now, girl, where you going?
It's about us right now, girl, where you going?
I'm with you

[Verse 1: PARTYNEXTDOOR]
Yeah, I can't get enough of you, babe
Bottles open up so you can try and open up for me, baby
M.I.A. in the M.I.A
You do you, girl, the haters gon' hate
Cut them off like you a sensei, girl
Oh, I know you feel what I feel
Breaking you off, it's so real
I can't fake that, babe
My love's locked down and you cuffing it
You're the only one I trust with it
You're the only one that stuck with it
[Chorus: PARTYNEXTDOOR & Drake]
It's about us right now, girl, where you going?
It's about us right now, girl, where you going?
I'm with you
It's about us right now, girl, where you going?
It's about us right now, girl, where you going? Yeah
I'm with you

[Verse 2: Drake]
Yeah, linking me down on my line
Busy as usual but we should make some time
Looking for things you can find
Just so you can have something to bring up when it's time
Mixing vodka and emotions, tapping into your emotions
Dry cry cause I'm hopeless
Choosey lover for the moment
Different story when I leave you
Story up just to keep you
I need you 'round, I need you, oh
[Chorus: PARTYNEXTDOOR & Jeremih]
It's about us right now, girl, where you going?
It's about us right now, girl, where you going?
I'm with you
It's all about us right now, girl, where you going?
It's all about us right now, girl, where you going?
I'm with you, I'm with you","
its about us right now girl where you going
its about us right now girl where you going
im with you

verse 1 partynextdoor
yeah i cant get enough of you babe
bottles open up so you can try and open up for me baby
mia in the mia
you do you girl the haters gon hate
cut them off like you a sensei girl
oh i know you feel what i feel
breaking you off its so real
i cant fake that babe
my loves locked down and you cuffing it
youre the only one i trust with it
youre the only one that stuck with it
chorus partynextdoor  drake
its about us right now girl where you going
its about us right now girl where you going
im with you
its about us right now girl where you going
its about us right now girl where you going yeah
im with you

verse 2 drake
yeah linking me down on my line
busy as usual but we should make some time
looking for things you can find
just so you can have something to bring up when its time
mixing vodka and emotions tapping into your emotions
dry cry cause im hopeless
choosey lover for the moment
different story when i leave you
story up just to keep you
i need you round i need you oh
chorus partynextdoor  jeremih
its about us right now girl where you going
its about us right now girl where you going
im with you
its all about us right now girl where you going
its all about us right now girl where you going
im with you im with you"
85,Faithful,"[Intro: Pimp C, Drake & Amber Rose]
Check, one-two, one-two, bitch
You expensive, you know that?
I'm high maintenance a little bit but not in a
Not in a negative way
I just like extremely expensive things
[Verse 1: Pimp C]
Foot off in their ass is what Ken told me
Niggas like to play games
'Cause they feel like they know me (they know me)
You don't know me, nigga, I done changed (I done changed)
So don't be trying to be putting on shit off in the game (Game)
This ain't no motherfucking 91
We out here rapping for money, you niggas rapping for fun
I don't fuck with nobody in this shit but Bun
(In this shit but Bun)
[Pre-Chorus: Drake]
You would think it's all mine the way I took it (Yeah)
You would think it broke down the way I push it (Yeah)
You hate it when I coat things all in sugar
You want to hear the real talk, well, girl, who wouldn't? (Yeah)

[Chorus: Drake]
Working, working, working, working, ain't ya?
You don't have no time to lay up
You just tryna be somebody
'Fore you say you need somebody
Get all your affairs in order
I won't have affairs, I'm yours, girl
Faithful, faithful, faithful, faithful

[Verse 2: Drake]
You hit me like ""I know you’re there with someone else"" (Yeah)
That pussy knows me better than I know myself
On my way from the studio, so get undressed
Let's do the things that we say on text (Yeah)
I want to get straight to the climax (Straight, straight to the)
Yeah, have you coming all summer like a season pass (Yeah)
I want to turn you out like pitch black
Want to watch you do work while I sit back (Yeah)
'Cause you talk like you got what I need (Yeah)
You talk like you got the juice and the squeeze (Yeah)
Talk like you bet it all on me (Yeah)
And you can't take no Ls off me
I know you been
","
check onetwo onetwo bitch
you expensive you know that
im high maintenance a little bit but not in a
not in a negative way
i just like extremely expensive things
verse 1 pimp c
foot off in their ass is what ken told me
niggas like to play games
cause they feel like they know me they know me
you dont know me nigga i done changed i done changed
so dont be trying to be putting on shit off in the game game
this aint no motherfucking 91
we out here rapping for money you niggas rapping for fun
i dont fuck with nobody in this shit but bun
in this shit but bun
prechorus drake
you would think its all mine the way i took it yeah
you would think it broke down the way i push it yeah
you hate it when i coat things all in sugar
you want to hear the real talk well girl who wouldnt yeah

chorus drake
working working working working aint ya
you dont have no time to lay up
you just tryna be somebody
fore you say you need somebody
get all your affairs in order
i wont have affairs im yours girl
faithful faithful faithful faithful

verse 2 drake
you hit me like i know you’re there with someone else yeah
that pussy knows me better than i know myself
on my way from the studio so get undressed
lets do the things that we say on text yeah
i want to get straight to the climax straight straight to the
yeah have you coming all summer like a season pass yeah
i want to turn you out like pitch black
want to watch you do work while i sit back yeah
cause you talk like you got what i need yeah
you talk like you got the juice and the squeeze yeah
talk like you bet it all on me yeah
and you cant take no ls off me
i know you been
"
86,Still Here,"[Intro]
Doin' well, dog
Yeah, me and all my
Yeah, me—yeah

[Chorus]
Me and all my niggas doin' well, doin' well, dog
You not from the city, I could tell, I could tell, dog
Did it, did it, did it by myself, by myself, dog
Blew up and I'm in the city still, I'm still here, dog
[Verse 1]
How did I finesse all of this shit from Jane and Weston?
Girls all in my bed and they don't trip off first impressions
Girls all in your bed and they just ask a hundred questions
I can't fuck with you no more cause you be actin' extra
Do your favorite rapper like my son, like my son though
Nothing mutual about my funds, 'bout my funds though
All you niggas fightin' over crumbs, where the bread at?
How they feel about you where you're from, where yo bed at?
I don't need no pill to speak my mind, I don't need that
I make people pay me for my time, yeah, I need that
And I see your girl like all the time, all the time though
I can't tell you if she's yours or mine but I do know

[Chorus]
Me and all my niggas doin' well, doin' well, dog
You not from the city, I could tell, I could tell, dog
Did it, did it, did it by myself, by myself, dog
Blew up and I'm in the city still, I'm still here, dog

[Verse 2]
Oh, and I'm back, dog
Oh, you just went and turned your back, dog
I thought that we were family
You showed me that we can't be
I gotta talk to God even though He isn't near me
Based on what I got, it's hard to think that He don't hear me
Hitting like that 30 on my jersey, man, I'm gifted
Whole lot of sixes, but I'm still like
Hallelujah, Hallelujah, Hallelujah
Six-point star, Lion of the Judah
All my niggas ain't off rockin' Gucci
One do it, then we all gotta do it
Got the key, now the door's open, and we all goin' through it
Whole city at your head for the boy
I ain't even gotta call no one for it
","
doin well dog
yeah me and all my
yeah me—yeah

chorus
me and all my niggas doin well doin well dog
you not from the city i could tell i could tell dog
did it did it did it by myself by myself dog
blew up and im in the city still im still here dog
verse 1
how did i finesse all of this shit from jane and weston
girls all in my bed and they dont trip off first impressions
girls all in your bed and they just ask a hundred questions
i cant fuck with you no more cause you be actin extra
do your favorite rapper like my son like my son though
nothing mutual about my funds bout my funds though
all you niggas fightin over crumbs where the bread at
how they feel about you where youre from where yo bed at
i dont need no pill to speak my mind i dont need that
i make people pay me for my time yeah i need that
and i see your girl like all the time all the time though
i cant tell you if shes yours or mine but i do know

chorus
me and all my niggas doin well doin well dog
you not from the city i could tell i could tell dog
did it did it did it by myself by myself dog
blew up and im in the city still im still here dog

verse 2
oh and im back dog
oh you just went and turned your back dog
i thought that we were family
you showed me that we cant be
i gotta talk to god even though he isnt near me
based on what i got its hard to think that he dont hear me
hitting like that 30 on my jersey man im gifted
whole lot of sixes but im still like
hallelujah hallelujah hallelujah
sixpoint star lion of the judah
all my niggas aint off rockin gucci
one do it then we all gotta do it
got the key now the doors open and we all goin through it
whole city at your head for the boy
i aint even gotta call no one for it
"
87,Controlla,"[Verse 1: Drake]
Right, my yiy just changed
You just buzzed the front gate
I thank God you came
How many more days could I wait?
I made plans with you
And I won't let 'em fall through
I, I, I, I, I

[Chorus: Drake]
I think I'd lie for you
I think I'd die for you
Jodeci ""Cry for You""
Do things when you want me to
Like controlla, controlla, yeah
Like controlla, controlla, yeah
[Verse 2: Drake]
Okay, you like it, when I get
Aggressive, tell you to
Go slower, go faster
Like controlla, controlla, yeah
Like controlla, controlla, yeah

[Bridge: Drake]
And I’m never on a waste ting, shawty
I do it how you say you want it
Them girls, they just wanna take my money
They don't want me to give you nothing
They don't want you to have nothing
They don't wanna see me find your lovin'
They don't wanna see me
Smiling back when they pree
[Chorus: Drake]
Knowing I'd lie for you
Thinking I'd die for you
Jodeci ""Cry for You""
Do things when you want me to
Like controlla, controlla, yeah
Like controlla, controlla, yeah
[Break: Beenie Man]
Gyal a tear off mi garments
And a bawl fi come inna mi apartment (Woi!)
Di gyal dem want di length and strength
Action speak louder than argument well
","
right my yiy just changed
you just buzzed the front gate
i thank god you came
how many more days could i wait
i made plans with you
and i wont let em fall through
i i i i i

chorus drake
i think id lie for you
i think id die for you
jodeci cry for you
do things when you want me to
like controlla controlla yeah
like controlla controlla yeah
verse 2 drake
okay you like it when i get
aggressive tell you to
go slower go faster
like controlla controlla yeah
like controlla controlla yeah

bridge drake
and i’m never on a waste ting shawty
i do it how you say you want it
them girls they just wanna take my money
they dont want me to give you nothing
they dont want you to have nothing
they dont wanna see me find your lovin
they dont wanna see me
smiling back when they pree
chorus drake
knowing id lie for you
thinking id die for you
jodeci cry for you
do things when you want me to
like controlla controlla yeah
like controlla controlla yeah
break beenie man
gyal a tear off mi garments
and a bawl fi come inna mi apartment woi
di gyal dem want di length and strength
action speak louder than argument well
"
88,One Dance,"[Refrain: Kyla]
Baby, I like your style

[Verse 1: Drake]
Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray
[Chorus: Drake]
That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
[Refrain: Kyla]
Baby, I like your style

[Verse 2: Drake]
Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time, and that's why

[Chorus: Drake]
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
","
baby i like your style

verse 1 drake
grips on your waist front way back way
you know that i dont play
streets not safe but i never run away
even when im away
oti oti
theres never much love when we go ot
i pray to make it back in one piece
i pray i pray
chorus drake
thats why i need a one dance
got a hennessy in my hand
one more time fore i go
higher powers taking a hold on me
i need a one dance
got a hennessy in my hand
one more time fore i go
higher powers taking a hold on me
refrain kyla
baby i like your style

verse 2 drake
strength and guidance
all that im wishing for my friends
nobody makes it from my ends
i had to bust up the silence
you know you gotta stick by me
soon as you see the text reply me
i dont wanna spend time fighting
weve got no time and thats why

chorus drake
i need a one dance
got a hennessy in my hand
one more time fore i go
higher powers taking a hold on me
i need a one dance
got a hennessy in my hand
one more time fore i go
higher powers taking a hold on me
"
89,Grammys,"[Intro: Drake]
Yeah, yeah
Yeah, yeah
Jheeze, yeah
Right, look, look

[Verse 1: Drake]
Tell me how you really feel
Tell me how you really feel
I would ask you what's the deal
But y'all don't even got a deal
Most niggas with a deal
Couldn't make a greatest hits
Y'all a whole lot of things
But you still ain't this
I don't know no one
That could tell me what to do
Heard you never claimed the hood
Heard the hood claimed you
That can't sit well
Oh well, ship sailed
Still mine, all mine
Cosign, cosign
I pull up in yachts so big
That they try to hit me with boat fines
Hype Williams, Big Pimpin', yeah
Just like the old times
Same niggas from the old days
Lotta sides on the same side
OVO, we a gold mine
But I'm goin' gold, no time
Doing plat, plat only
Boys better back off me
Hall of fame, hall of fame
Like I'm shirt off, like I'm shirt off
Like I'm shirt off shorty
Whole city goin' crazy
Whole city goin' crazy
Top five, no debatin'
Top five, top five, top five
And the whole city rate me
And I'm back inside The Matrix
And I said that we would make it
Aim squad with some traitors
Knew my niggas from the basement
This ain't no met-along-the-way shit
We done really put some days in
[Interlude: Future]
Hey, why you so excited? You know what I'm sayin'?
What happened?
Did you win the Grammy? God damn
You actin' like you fuckin' won a trophy and shit
This nigga turnt the fuck up

[Chorus: Future]
They gon' think I won a Grammy
They gon' think I won a Grammy
Swervin' out the Panoramic
I'm hangin' out, they can't stand me
They gon' think I won a Grammy
They gon' think I won a Grammy
They gon' think I won a Grammy
They gon' think I won a Grammy
I'm showin' out, they can't stand me
I'm showin' out, they can't stand me
I'm swervin' off, they can't stand me
I'm rr off, can't stand me
They gon' think I won a Grammy
They gon' think I won a Grammy
They gon' think I won a Grammy
They gon' think I won a Grammy

[Verse 2: Future]
Gonna peel off like a bandit
I'm noddin' off on a Xanax
Get pissed off, start airin' it
Get a head start, ain't friendly
I stand out, I don't blend in
When I say that I meant that
I don't want to talk to you has-beens
I don't want features from nan them
I don't want features or nothin'
You can't even get on my guest list
They want me to go to the Met Gala
I want a Percocet and a gallon
That Actavis Hi-Tech it don't matter
We sittin' right on the courtside
I know the players on both side
I'm cashin' out, fuck a cosign
I wear the chain like a bowtie
I wear the ring like a fo'-five
Keep a fo'-five for the po' guys
Black tints, low profile
Celebratin' everyday
'Cause I'm really really fresh out the coke house
Countin' up every single day
'Bout to bring a whole 'nother whip out
","
yeah yeah
yeah yeah
jheeze yeah
right look look

verse 1 drake
tell me how you really feel
tell me how you really feel
i would ask you whats the deal
but yall dont even got a deal
most niggas with a deal
couldnt make a greatest hits
yall a whole lot of things
but you still aint this
i dont know no one
that could tell me what to do
heard you never claimed the hood
heard the hood claimed you
that cant sit well
oh well ship sailed
still mine all mine
cosign cosign
i pull up in yachts so big
that they try to hit me with boat fines
hype williams big pimpin yeah
just like the old times
same niggas from the old days
lotta sides on the same side
ovo we a gold mine
but im goin gold no time
doing plat plat only
boys better back off me
hall of fame hall of fame
like im shirt off like im shirt off
like im shirt off shorty
whole city goin crazy
whole city goin crazy
top five no debatin
top five top five top five
and the whole city rate me
and im back inside the matrix
and i said that we would make it
aim squad with some traitors
knew my niggas from the basement
this aint no metalongtheway shit
we done really put some days in
interlude future
hey why you so excited you know what im sayin
what happened
did you win the grammy god damn
you actin like you fuckin won a trophy and shit
this nigga turnt the fuck up

chorus future
they gon think i won a grammy
they gon think i won a grammy
swervin out the panoramic
im hangin out they cant stand me
they gon think i won a grammy
they gon think i won a grammy
they gon think i won a grammy
they gon think i won a grammy
im showin out they cant stand me
im showin out they cant stand me
im swervin off they cant stand me
im rr off cant stand me
they gon think i won a grammy
they gon think i won a grammy
they gon think i won a grammy
they gon think i won a grammy

verse 2 future
gonna peel off like a bandit
im noddin off on a xanax
get pissed off start airin it
get a head start aint friendly
i stand out i dont blend in
when i say that i meant that
i dont want to talk to you hasbeens
i dont want features from nan them
i dont want features or nothin
you cant even get on my guest list
they want me to go to the met gala
i want a percocet and a gallon
that actavis hitech it dont matter
we sittin right on the courtside
i know the players on both side
im cashin out fuck a cosign
i wear the chain like a bowtie
i wear the ring like a fofive
keep a fofive for the po guys
black tints low profile
celebratin everyday
cause im really really fresh out the coke house
countin up every single day
bout to bring a whole nother whip out
"
90,Child’s Play,"[Intro]
Breaking news, my niggas
If your girlfriend has went to any
Season opener basketball game
Best believe, she's fucking some niggas on that team
She's fucking somebody on the basketball team
If she's at the game
Right, right, yeah

[Chorus: Drake]
I say bounce that shit like woah
Yeah, bounce that shit like woah
This is not a fairytale, I already know how you like it
Take you to the mall and get you a new outfit
Girl, that's just some child's play
Bounce that shit like woah, woah, woah
Woah, woah, heard all of the stories about you
I already know and I like it
Take you to the mall and get you a new outfit
Girl, that's just some child's play
Bounce that shit like woah, yeah
Bounce that shit like woah
[Verse 1: Drake]
Why you gotta fight with me at Cheesecake?
You know I love to go there
Say I'm actin' lightskin, I can't take you nowhere
This a place for families that drive Camrys and go to Disney
They don't need to know all of our business
You wildin', you super childish, you go to CVS for Kotex
In my Bugatti, I took the key and tried to hide it
So you can't drive it, and put on mileage
Then you find it, awkward silence
Momma is a saint, yes, she raised me real good
All because of her I don't do you like I should
Don't make me give you back to the hood
Don't make me give you back

[Chorus: Drake]
I say bounce that shit like woah
Yeah, bounce that shit like woah
This is not a fairytale, I already know how you like it
Take you to the mall and get you a new outfit
Girl that's just some child's play
Bounce that shit like woah, woah, woah
Woah, woah, heard all of the stories about you
I already know and I like it
Take you to the mall and get you a new outfit
Girl, that's just some child's play
Bounce that shit like woah, yeah
Bounce that shit like woah
","
breaking news my niggas
if your girlfriend has went to any
season opener basketball game
best believe shes fucking some niggas on that team
shes fucking somebody on the basketball team
if shes at the game
right right yeah

chorus drake
i say bounce that shit like woah
yeah bounce that shit like woah
this is not a fairytale i already know how you like it
take you to the mall and get you a new outfit
girl thats just some childs play
bounce that shit like woah woah woah
woah woah heard all of the stories about you
i already know and i like it
take you to the mall and get you a new outfit
girl thats just some childs play
bounce that shit like woah yeah
bounce that shit like woah
verse 1 drake
why you gotta fight with me at cheesecake
you know i love to go there
say im actin lightskin i cant take you nowhere
this a place for families that drive camrys and go to disney
they dont need to know all of our business
you wildin you super childish you go to cvs for kotex
in my bugatti i took the key and tried to hide it
so you cant drive it and put on mileage
then you find it awkward silence
momma is a saint yes she raised me real good
all because of her i dont do you like i should
dont make me give you back to the hood
dont make me give you back

chorus drake
i say bounce that shit like woah
yeah bounce that shit like woah
this is not a fairytale i already know how you like it
take you to the mall and get you a new outfit
girl thats just some childs play
bounce that shit like woah woah woah
woah woah heard all of the stories about you
i already know and i like it
take you to the mall and get you a new outfit
girl thats just some childs play
bounce that shit like woah yeah
bounce that shit like woah
"
91,Pop Style,"[Chorus]
Dropped outta school now we dumb rich (Dumb rich)
This sound like some forty-three-oh-one shit (One shit)
All my niggas wanna do is pop style (Pop style)
Turn my birthday into a lifestyle (Lifestyle)

[Verse 1]
Tell my mom I love her if I do not make it (Do not make it)
Got so many chains they call me Chaining Tatum (They do, they do)
And I like to finish what you think you started
Man you boys just got to Hollywood, you boys just started
You don't know what you just started
All I do is hang with the young and heartless
All this for my family, man, I try my hardest
It's all I ever did and look where it got him
Yeah, you've been on my mind lately
You've still got my number, girl you need to call me
I feel like they wanna see me learn the hard way
But you know I always handle that one my way
Girl, let me rock, rock, rock, rock, rock your body
Justin Timberlake and then I hit the highway
I can't trust no fuckin' body
They still out to get me cause they never got me
[Verse 2]
They still out to get me, I don't get it
I can not be got, and that's a given
Give a real nigga the number one
Even though I got like twenty-one
Cannot be me I'm a one-of-one
Schooling your ass like 101
They been out here tryna slide on me
They been out here telling lies on me
Everybody looking out for themself
But they still got they eyes on me
See me putting in the hard work now, ayy
Momma doesn't have to call work now, ayy
I decide when I start work now, ayy
Problems hit the gym, they all work out
MVP, MVP, oh-nine all the way to sixteen
Even next season looking like a breeze
Lot of y'all ain't built for the league, yeah
Trade you off the team while you in your sleep, yeah
Y'all showed me that nothing's guaranteed
And you don't know what you started
My friend's chain so big that he look like the artist
I can't trust no fuckin' body
They still out to get me cause they never got me

[Chorus]
Dropped outta school now we dumb rich (Dumb rich)
This sound like some forty-three-oh-one shit (One shit)
All my niggas wanna do is pop style (Pop style)
Turn my birthday into a lifestyle (Lifestyle)","
dropped outta school now we dumb rich dumb rich
this sound like some fortythreeohone shit one shit
all my niggas wanna do is pop style pop style
turn my birthday into a lifestyle lifestyle

verse 1
tell my mom i love her if i do not make it do not make it
got so many chains they call me chaining tatum they do they do
and i like to finish what you think you started
man you boys just got to hollywood you boys just started
you dont know what you just started
all i do is hang with the young and heartless
all this for my family man i try my hardest
its all i ever did and look where it got him
yeah youve been on my mind lately
youve still got my number girl you need to call me
i feel like they wanna see me learn the hard way
but you know i always handle that one my way
girl let me rock rock rock rock rock your body
justin timberlake and then i hit the highway
i cant trust no fuckin body
they still out to get me cause they never got me
verse 2
they still out to get me i dont get it
i can not be got and thats a given
give a real nigga the number one
even though i got like twentyone
cannot be me im a oneofone
schooling your ass like 101
they been out here tryna slide on me
they been out here telling lies on me
everybody looking out for themself
but they still got they eyes on me
see me putting in the hard work now ayy
momma doesnt have to call work now ayy
i decide when i start work now ayy
problems hit the gym they all work out
mvp mvp ohnine all the way to sixteen
even next season looking like a breeze
lot of yall aint built for the league yeah
trade you off the team while you in your sleep yeah
yall showed me that nothings guaranteed
and you dont know what you started
my friends chain so big that he look like the artist
i cant trust no fuckin body
they still out to get me cause they never got me

chorus
dropped outta school now we dumb rich dumb rich
this sound like some fortythreeohone shit one shit
all my niggas wanna do is pop style pop style
turn my birthday into a lifestyle lifestyle"
